Departure Index (c),Departure time,Arrival Time,Rush
1,4:00,5:15,
2,4:12,5:27,
3,4:24,5:39,
4,4:36,5:51,
5,4:48,6:03,
6,5:00,6:15,
7,5:12,6:27,
8,5:24,6:39,
9,5:36,6:51,
10,5:48,7:03,
11,6:00,7:15,
12,6:12,7:27,
13,6:15,7:30,1
14,6:24,7:39,
15,6:36,7:51,
16,6:48,8:03,
17,7:00,8:15,
18,7:12,8:27,
19,7:15,8:30,1
20,7:24,8:39,
21,7:36,8:51,
22,7:48,9:03,
23,8:00,9:15,
24,8:12,9:27,
25,8:15,9:30,1
26,8:24,9:39,
27,8:36,9:51,
28,8:48,10:03,
29,9:00,10:15,
30,9:12,10:27,
31,9:24,10:39,
32,9:36,10:51,
33,9:48,11:03,
34,10:00,11:15,
35,10:12,11:27,
36,10:24,11:39,
37,10:36,11:51,
38,10:48,12:03,
39,11:00,12:15,
40,11:12,12:27,
41,11:24,12:39,
42,11:36,12:51,
43,11:48,13:03,
44,12:00,13:15,
45,12:12,13:27,
46,12:24,13:39,
47,12:36,13:51,
48,12:48,14:03,
49,13:00,14:15,
50,13:12,14:27,
51,13:24,14:39,
52,13:36,14:51,
53,13:48,15:03,
54,14:00,15:15,
55,14:12,15:27,
56,14:24,15:39,
57,14:36,15:51,
58,14:48,16:03,
59,15:00,16:15,
60,15:12,16:27,
61,15:24,16:39,
62,15:36,16:51,
63,15:48,17:03,
64,16:00,17:15,
65,16:12,17:27,
66,16:24,17:39,
67,16:36,17:51,
68,16:48,18:03,
69,17:00,18:15,
70,17:12,18:27,
71,17:24,18:39,
72,17:36,18:51,
73,17:48,19:03,
74,18:00,19:15,
75,18:12,19:27,
76,18:24,19:39,
77,18:36,19:51,
78,18:48,20:03,
79,19:00,20:15,
80,19:15,20:30,
81,19:30,20:45,
82,19:45,21:00,
83,20:00,21:15,
84,20:15,21:30,
85,20:30,21:45,
86,20:45,22:00,