,Travel Segment (a),Departure Index (c),Time of Departure (alpha),Time of Arrival (beta)
13,1,14,384,457
14,1,15,396,469
15,1,16,408,481
16,1,17,420,493
17,1,18,432,505
18,1,19,437,510
19,1,20,444,517
20,1,21,456,529
21,1,22,468,541
22,1,23,480,553
23,1,24,492,565
24,1,25,497,570
25,1,26,504,577
26,1,27,516,589
27,1,28,528,601
28,1,29,540,613
29,1,30,552,625
168,3,13,384,456
169,3,14,396,468
170,3,15,408,480
171,3,16,420,492
172,3,17,432,504
173,3,18,444,516
174,3,19,456,528
175,3,20,468,540
176,3,21,480,552
177,3,22,492,564
178,3,23,504,576
179,3,24,516,588
180,3,25,528,600
181,3,26,540,612
182,3,27,552,624
183,3,28,564,636
460,6,14,384,456
461,6,15,396,468
462,6,16,408,480
463,6,17,420,492
464,6,18,432,504
465,6,19,438,510
466,6,20,444,516
467,6,21,456,528
468,6,22,468,540
469,6,23,480,552
470,6,24,492,564
471,6,25,498,570
472,6,26,504,576
473,6,27,516,588
474,6,28,528,600
475,6,29,540,612
476,6,30,552,624
477,6,31,564,636
559,7,14,384,457
560,7,15,387,460
561,7,16,396,469
562,7,17,407,480
563,7,18,408,481
564,7,19,415,488
565,7,20,420,493
566,7,21,423,496
567,7,22,431,504
568,7,23,432,505
569,7,24,439,512
570,7,25,444,517
571,7,26,447,520
572,7,27,455,528
573,7,28,456,529
574,7,29,463,536
575,7,30,468,541
576,7,31,480,553
577,7,32,487,560
578,7,33,492,565
579,7,34,504,577
580,7,35,507,580
581,7,36,516,589
582,7,37,527,600
583,7,38,528,601
584,7,39,540,613
585,7,40,552,625
863,10,14,384,459
864,10,15,396,471
865,10,16,408,483
866,10,17,420,495
867,10,18,432,507
868,10,19,435,510
869,10,20,444,519
870,10,21,456,531
871,10,22,468,543
872,10,23,480,555
873,10,24,492,567
874,10,25,495,570
875,10,26,504,579
876,10,27,516,591
877,10,28,528,603
878,10,29,540,615
879,10,30,552,627